operator,format,index_dtype,value_dtype,op,route,status
spmv,CSR,int64,complex64,trans,row_vector,UNVERIFIED
spmv,CSR,int64,complex64,trans,triton,SUPPORTED
spmv,CSR,int64,complex64,conj,legacy_bucket_vector,SUPPORTED
spmv,CSR,int64,complex64,conj,legacy_rowpar,SUPPORTED
spmv,CSR,int64,complex64,conj,legacy_segbin,SUPPORTED
spmv,CSR,int64,complex64,conj,row_adaptive_split,UNVERIFIED
spmv,CSR,int64,complex64,conj,row_split_reduce,UNVERIFIED
spmv,CSR,int64,complex64,conj,row_tile,UNVERIFIED
spmv,CSR,int64,complex64,conj,row_vector,UNVERIFIED
spmv,CSR,int64,complex64,conj,triton,SUPPORTED
spmv,CSR,int64,complex128,non,legacy_bucket_vector,SUPPORTED
spmv,CSR,int64,complex128,non,legacy_rowpar,SUPPORTED
spmv,CSR,int64,complex128,non,legacy_segbin,SUPPORTED
spmv,CSR,int64,complex128,non,row_adaptive_split,UNVERIFIED
spmv,CSR,int64,complex128,non,row_split_reduce,UNVERIFIED
spmv,CSR,int64,complex128,non,row_tile,UNVERIFIED
spmv,CSR,int64,complex128,non,row_vector,UNVERIFIED
spmv,CSR,int64,complex128,non,triton,SUPPORTED
spmv,CSR,int64,complex128,trans,legacy_bucket_vector,SUPPORTED
spmv,CSR,int64,complex128,trans,legacy_rowpar,SUPPORTED
spmv,CSR,int64,complex128,trans,legacy_segbin,SUPPORTED
spmv,CSR,int64,complex128,trans,row_adaptive_split,UNVERIFIED
spmv,CSR,int64,complex128,trans,row_split_reduce,UNVERIFIED
spmv,CSR,int64,complex128,trans,row_tile,UNVERIFIED
spmv,CSR,int64,complex128,trans,row_vector,UNVERIFIED
spmv,CSR,int64,complex128,trans,triton,SUPPORTED
spmv,CSR,int64,complex128,conj,legacy_bucket_vector,SUPPORTED
spmv,CSR,int64,complex128,conj,legacy_rowpar,SUPPORTED
spmv,CSR,int64,complex128,conj,legacy_segbin,SUPPORTED
spmv,CSR,int64,complex128,conj,row_adaptive_split,UNVERIFIED
spmv,CSR,int64,complex128,conj,row_split_reduce,UNVERIFIED
spmv,CSR,int64,complex128,conj,row_tile,UNVERIFIED
spmv,CSR,int64,complex128,conj,row_vector,UNVERIFIED
spmv,CSR,int64,complex128,conj,triton,SUPPORTED
spsm,COO,int32,float32,non,triton,SUPPORTED
spsm,COO,int32,float64,non,triton,SUPPORTED
spsm,COO,int32,complex64,non,triton,SUPPORTED
spsm,COO,int32,complex128,non,triton,SUPPORTED
spsm,CSR,int32,float32,non,triton,SUPPORTED
spsm,CSR,int32,float64,non,triton,SUPPORTED
spsm,CSR,int32,complex64,non,triton,SUPPORTED
spsm,CSR,int32,complex128,non,triton,SUPPORTED
spsv,COO,int32,float32,non,triton,SUPPORTED
spsv,COO,int32,float32,trans,triton,SUPPORTED
spsv,COO,int32,float64,non,triton,SUPPORTED
spsv,COO,int32,float64,trans,triton,SUPPORTED
spsv,COO,int32,complex64,non,triton,SUPPORTED
spsv,COO,int32,complex64,trans,triton,SUPPORTED
spsv,COO,int32,complex128,non,triton,SUPPORTED
spsv,COO,int32,complex128,trans,triton,SUPPORTED
spsv,COO,int64,float32,non,triton,SUPPORTED
spsv,COO,int64,float32,trans,triton,SUPPORTED
spsv,COO,int64,float64,non,triton,SUPPORTED
spsv,COO,int64,float64,trans,triton,SUPPORTED
spsv,COO,int64,complex64,non,triton,SUPPORTED
spsv,COO,int64,complex64,trans,triton,SUPPORTED
spsv,COO,int64,complex128,non,triton,SUPPORTED
spsv,COO,int64,complex128,trans,triton,SUPPORTED
spsv,CSR,int32,float32,non,triton,SUPPORTED
spsv,CSR,int32,float32,trans,triton,SUPPORTED
spsv,CSR,int32,float64,non,triton,SUPPORTED
spsv,CSR,int32,float64,trans,triton,SUPPORTED
spsv,CSR,int32,complex64,non,triton,SUPPORTED
spsv,CSR,int32,complex64,trans,triton,SUPPORTED
spsv,CSR,int32,complex128,non,triton,SUPPORTED
spsv,CSR,int32,complex128,trans,triton,SUPPORTED
spsv,CSR,int64,float32,non,triton,SUPPORTED
spsv,CSR,int64,float32,trans,triton,SUPPORTED
spsv,CSR,int64,float64,non,triton,SUPPORTED
spsv,CSR,int64,float64,trans,triton,SUPPORTED
spsv,CSR,int64,complex64,non,triton,SUPPORTED
spsv,CSR,int64,complex64,trans,triton,SUPPORTED
